Data as of,Start week,End Week,State,Sex,Age group,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
9/30/20,2/1/20,9/26/20,Missouri,Unknown,0-17 years,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Missouri,Unknown,1-4 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Missouri,Unknown,5-14 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Missouri,Unknown,15-24 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Missouri,Unknown,18-29 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Missouri,Unknown,25-34 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Missouri,Unknown,30-49 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Missouri,Unknown,35-44 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Missouri,Unknown,45-54 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Missouri,Unknown,50-64 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Missouri,Unknown,55-64 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Missouri,Unknown,65-74 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Missouri,Unknown,75-84 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Missouri,Unknown,85 years and over,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Montana,All Sexes,All Ages,142,6808,346,52,34,470,
9/30/20,2/1/20,9/26/20,Montana,Male,All Ages,73,3772,195,23,17,262,
9/30/20,2/1/20,9/26/20,Montana,Male,Under 1 year,0,17,0,0,0,0,
9/30/20,2/1/20,9/26/20,Montana,Male,0-17 years,0,37,0,0,0,0,
9/30/20,2/1/20,9/26/20,Montana,Male,1-4 years,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Montana,Male,5-14 years,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Montana,Male,15-24 years,0,73,0,0,0,0,
9/30/20,2/1/20,9/26/20,Montana,Male,18-29 years,0,110,0,0,0,0,
9/30/20,2/1/20,9/26/20,Montana,Male,25-34 years,0,100,0,0,0,0,
9/30/20,2/1/20,9/26/20,Montana,Male,30-49 years,,259,,,,12,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Montana,Male,35-44 years,,119,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Montana,Male,45-54 years,,210,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Montana,Male,50-64 years,10,660,24,,,34,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Montana,Male,55-64 years,,538,19,,,28,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Montana,Male,65-74 years,20,873,50,,,65,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Montana,Male,75-84 years,20,948,52,,,71,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Montana,Male,85 years and over,20,885,61,,,80,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Montana,Female,All Ages,69,3036,151,29,17,208,
9/30/20,2/1/20,9/26/20,Montana,Female,Under 1 year,0,16,0,0,0,0,
9/30/20,2/1/20,9/26/20,Montana,Female,0-17 years,0,35,0,0,0,0,
9/30/20,2/1/20,9/26/20,Montana,Female,1-4 years,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Montana,Female,5-14 years,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Montana,Female,15-24 years,0,20,0,0,0,0,
9/30/20,2/1/20,9/26/20,Montana,Female,18-29 years,0,31,0,0,0,0,
9/30/20,2/1/20,9/26/20,Montana,Female,25-34 years,,55,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Montana,Female,30-49 years,,142,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Montana,Female,35-44 years,0,66,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Montana,Female,45-54 years,,112,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Montana,Female,50-64 years,11,380,14,,,22,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Montana,Female,55-64 years,,307,12,,,18,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Montana,Female,65-74 years,12,558,41,,,51,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Montana,Female,75-84 years,18,684,37,,,52,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Montana,Female,85 years and over,25,1206,54,,,77,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Montana,Unknown,All Ages,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Montana,Unknown,Under 1 year,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Montana,Unknown,0-17 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Montana,Unknown,1-4 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Montana,Unknown,5-14 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Montana,Unknown,15-24 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Montana,Unknown,18-29 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Montana,Unknown,25-34 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Montana,Unknown,30-49 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Montana,Unknown,35-44 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Montana,Unknown,45-54 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Montana,Unknown,50-64 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Montana,Unknown,55-64 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Montana,Unknown,65-74 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Montana,Unknown,75-84 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Montana,Unknown,85 years and over,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Nebraska,All Sexes,All Ages,481,11420,837,184,28,1162,
9/30/20,2/1/20,9/26/20,Nebraska,Male,All Ages,262,5762,417,104,11,586,
9/30/20,2/1/20,9/26/20,Nebraska,Male,Under 1 year,0,56,0,0,0,0,
9/30/20,2/1/20,9/26/20,Nebraska,Male,0-17 years,0,96,0,0,0,0,
9/30/20,2/1/20,9/26/20,Nebraska,Male,1-4 years,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Nebraska,Male,5-14 years,0,21,0,0,0,0,
9/30/20,2/1/20,9/26/20,Nebraska,Male,15-24 years,,83,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Nebraska,Male,18-29 years,,134,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Nebraska,Male,25-34 years,,145,,,,11,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Nebraska,Male,30-49 years,14,391,13,,,26,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Nebraska,Male,35-44 years,,178,,,0,11,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Nebraska,Male,45-54 years,15,321,17,,,29,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Nebraska,Male,50-64 years,48,1015,71,18,,104,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Nebraska,Male,55-64 years,38,828,58,15,,84,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Nebraska,Male,65-74 years,69,1269,85,24,,133,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Nebraska,Male,75-84 years,75,1396,108,35,,149,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Nebraska,Male,85 years and over,51,1461,135,22,,166,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Nebraska,Female,All Ages,219,5658,420,80,17,576,
9/30/20,2/1/20,9/26/20,Nebraska,Female,Under 1 year,0,25,0,0,0,0,
9/30/20,2/1/20,9/26/20,Nebraska,Female,0-17 years,0,50,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Nebraska,Female,1-4 years,0,,0,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Nebraska,Female,5-14 years,0,11,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Nebraska,Female,15-24 years,,36,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Nebraska,Female,18-29 years,,47,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Nebraska,Female,25-34 years,,47,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Nebraska,Female,30-49 years,,211,14,,0,16,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Nebraska,Female,35-44 years,,89,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Nebraska,Female,45-54 years,,210,19,,0,22,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Nebraska,Female,50-64 years,32,657,47,14,,68,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Nebraska,Female,55-64 years,25,540,35,10,,53,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Nebraska,Female,65-74 years,33,937,73,13,,95,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Nebraska,Female,75-84 years,60,1351,109,26,,144,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Nebraska,Female,85 years and over,88,2405,172,24,,244,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Nebraska,Unknown,All Ages,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Nebraska,Unknown,Under 1 year,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Nebraska,Unknown,0-17 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Nebraska,Unknown,1-4 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Nebraska,Unknown,5-14 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Nebraska,Unknown,15-24 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Nebraska,Unknown,18-29 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Nebraska,Unknown,25-34 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Nebraska,Unknown,30-49 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Nebraska,Unknown,35-44 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Nebraska,Unknown,45-54 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Nebraska,Unknown,50-64 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Nebraska,Unknown,55-64 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Nebraska,Unknown,65-74 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Nebraska,Unknown,75-84 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Nebraska,Unknown,85 years and over,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Nevada,All Sexes,All Ages,1446,19042,2135,1097,41,2525,
9/30/20,2/1/20,9/26/20,Nevada,Male,All Ages,903,10726,1279,688,22,1516,
9/30/20,2/1/20,9/26/20,Nevada,Male,Under 1 year,0,43,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Nevada,Male,0-17 years,,109,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Nevada,Male,1-4 years,0,13,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Nevada,Male,5-14 years,,20,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Nevada,Male,15-24 years,,185,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Nevada,Male,18-29 years,,299,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Nevada,Male,25-34 years,,312,11,,0,12,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Nevada,Male,30-49 years,68,938,80,49,0,99,
9/30/20,2/1/20,9/26/20,Nevada,Male,35-44 years,31,443,33,22,0,42,
9/30/20,2/1/20,9/26/20,Nevada,Male,45-54 years,100,833,123,82,,143,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Nevada,Male,50-64 years,194,2188,279,157,,323,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Nevada,Male,55-64 years,129,1685,197,101,,230,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Nevada,Male,65-74 years,232,2539,338,176,,400,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Nevada,Male,75-84 years,269,2763,366,199,,444,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Nevada,Male,85 years and over,135,1890,205,105,,236,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Nevada,Female,All Ages,543,8316,856,409,19,1009,
9/30/20,2/1/20,9/26/20,Nevada,Female,Under 1 year,0,42,0,0,0,0,
9/30/20,2/1/20,9/26/20,Nevada,Female,0-17 years,0,67,0,0,0,0,
9/30/20,2/1/20,9/26/20,Nevada,Female,1-4 years,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Nevada,Female,5-14 years,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Nevada,Female,15-24 years,0,67,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Nevada,Female,18-29 years,,114,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Nevada,Female,25-34 years,,129,10,,,13,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Nevada,Female,30-49 years,22,500,38,15,,50,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Nevada,Female,35-44 years,10,224,13,,,17,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Nevada,Female,45-54 years,30,472,53,21,,66,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Nevada,Female,50-64 years,88,1296,154,67,,180,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Nevada,Female,55-64 years,69,1028,119,53,,138,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Nevada,Female,65-74 years,146,1779,232,117,,265,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Nevada,Female,75-84 years,159,2176,245,117,,290,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Nevada,Female,85 years and over,125,2384,182,91,,218,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Nevada,Unknown,All Ages,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Nevada,Unknown,Under 1 year,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Nevada,Unknown,0-17 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Nevada,Unknown,1-4 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Nevada,Unknown,5-14 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Nevada,Unknown,15-24 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Nevada,Unknown,18-29 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Nevada,Unknown,25-34 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Nevada,Unknown,30-49 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Nevada,Unknown,35-44 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Nevada,Unknown,45-54 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Nevada,Unknown,50-64 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Nevada,Unknown,55-64 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Nevada,Unknown,65-74 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Nevada,Unknown,75-84 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Nevada,Unknown,85 years and over,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,New Hampshire,All Sexes,All Ages,418,8702,520,114,30,853,
9/30/20,2/1/20,9/26/20,New Hampshire,Male,All Ages,203,4465,274,72,12,416,
9/30/20,2/1/20,9/26/20,New Hampshire,Male,Under 1 year,0,18,0,0,0,0,
9/30/20,2/1/20,9/26/20,New Hampshire,Male,0-17 years,0,37,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,New Hampshire,Male,1-4 years,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,New Hampshire,Male,5-14 years,0,,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,New Hampshire,Male,15-24 years,,48,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,New Hampshire,Male,18-29 years,,88,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,New Hampshire,Male,25-34 years,0,116,0,0,0,0,
9/30/20,2/1/20,9/26/20,New Hampshire,Male,30-49 years,,323,,,0,11,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,New Hampshire,Male,35-44 years,,136,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,New Hampshire,Male,45-54 years,,284,13,,,19,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,New Hampshire,Male,50-64 years,19,745,36,,,50,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,New Hampshire,Male,55-64 years,14,582,27,,0,37,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,New Hampshire,Male,65-74 years,34,990,59,17,,79,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,New Hampshire,Male,75-84 years,63,1089,86,24,,130,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,New Hampshire,Male,85 years and over,81,1193,84,23,,144,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,New Hampshire,Female,All Ages,215,4237,246,42,18,437,
9/30/20,2/1/20,9/26/20,New Hampshire,Female,Under 1 year,0,13,0,0,0,0,
9/30/20,2/1/20,9/26/20,New Hampshire,Female,0-17 years,0,19,0,0,0,0,
9/30/20,2/1/20,9/26/20,New Hampshire,Female,1-4 years,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,New Hampshire,Female,5-14 years,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,New Hampshire,Female,15-24 years,0,21,0,0,0,0,
9/30/20,2/1/20,9/26/20,New Hampshire,Female,18-29 years,0,46,0,0,0,0,
9/30/20,2/1/20,9/26/20,New Hampshire,Female,25-34 years,0,53,0,0,0,0,
9/30/20,2/1/20,9/26/20,New Hampshire,Female,30-49 years,0,156,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,New Hampshire,Female,35-44 years,0,64,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,New Hampshire,Female,45-54 years,,159,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,New Hampshire,Female,50-64 years,,465,16,,,23,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,New Hampshire,Female,55-64 years,,370,13,,,19,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,New Hampshire,Female,65-74 years,27,661,50,,,75,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,New Hampshire,Female,75-84 years,54,1053,69,11,,114,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,New Hampshire,Female,85 years and over,129,1837,108,21,,222,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,New Hampshire,Unknown,All Ages,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,New Hampshire,Unknown,Under 1 year,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,New Hampshire,Unknown,0-17 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,New Hampshire,Unknown,1-4 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,New Hampshire,Unknown,5-14 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,New Hampshire,Unknown,15-24 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,New Hampshire,Unknown,18-29 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,New Hampshire,Unknown,25-34 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,New Hampshire,Unknown,30-49 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,New Hampshire,Unknown,35-44 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,New Hampshire,Unknown,45-54 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,New Hampshire,Unknown,50-64 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,New Hampshire,Unknown,55-64 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,New Hampshire,Unknown,65-74 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,New Hampshire,Unknown,75-84 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,New Hampshire,Unknown,85 years and over,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,New Jersey,All Sexes,All Ages,14297,65420,10067,6903,122,17569,
9/30/20,2/1/20,9/26/20,New Jersey,Male,All Ages,7619,33097,5500,3823,71,9361,
9/30/20,2/1/20,9/26/20,New Jersey,Male,Under 1 year,0,112,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,New Jersey,Male,0-17 years,0,186,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,New Jersey,Male,1-4 years,0,27,0,0,0,0,
9/30/20,2/1/20,9/26/20,New Jersey,Male,5-14 years,0,17,0,0,0,0,
9/30/20,2/1/20,9/26/20,New Jersey,Male,15-24 years,12,264,,,0,15,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,New Jersey,Male,18-29 years,38,578,19,11,0,46,
